code,label,description,parent,kind,in_plot
A482,A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever],A48,subcategory,1
A483,A48.3,Toxic shock syndrome,A48,subcategory,1
A488,A48.8,Other specified bacterial diseases,A48,subcategory,1
A49,A49,Bacterial infection of unspecified site,A30-A49,category,0
A490,A49.0,"Staphylococcal infection, unspecified",A49,subcategory,1
A491,A49.1,"Streptococcal infection, unspecified",A49,subcategory,1
A492,A49.2,"Haemophilus influenzae infection, unspecified",A49,subcategory,1
A493,A49.3,"Mycoplasma infection, unspecified",A49,subcategory,1
A498,A49.8,Other bacterial infections of unspecified site,A49,subcategory,1
A499,A49.9,"Bacterial infection, unspecified",A49,subcategory,1
A50,A50,Congenital syphilis,A50-A64,category,1
A500,A50.0,"Early congenital syphilis, symptomatic",A50,subcategory,1
A501,A50.1,"Early congenital syphilis, latent",A50,subcategory,1
A503,A50.3,Late congenital syphilitic oculopathy,A50,subcategory,1
A505,A50.5,"Other late congenital syphilis, symptomatic",A50,subcategory,1
A51,A51,Early syphilis,A50-A64,category,0
A513,A51.3,Secondary syphilis of skin and mucous membranes,A51,subcategory,1
A5131,A51.31,Condyloma latum,A513,extension,1
A5139,A51.39,Other secondary syphilis of skin,A513,extension,1
A514,A51.4,Other secondary syphilis,A51,subcategory,1
A515,A51.5,"Early syphilis, latent",A51,subcategory,1
A52,A52,Late syphilis,A50-A64,category,0
A520,A52.0,Cardiovascular syphilis,A52,subcategory,1
A521,A52.1,Symptomatic neurosyphilis,A52,subcategory,1
A522,A52.2,Asymptomatic neurosyphilis,A52,subcategory,1
A523,A52.3,"Neurosyphilis, unspecified",A52,subcategory,1
A527,A52.7,Other symptomatic late syphilis,A52,subcategory,1
A53,A53,Other and unspecified syphilis,A50-A64,category,1
A530,A53.0,"Latent syphilis, unspecified as early or late",A53,subcategory,1
A539,A53.9,"Syphilis, unspecified",A53,subcategory,1
A54,A54,Gonococcal infection,A50-A64,category,1
A540,A54.0,Gonococcal infection of lower genito-urinary tract without periurethral or accessory gland abscess,A54,subcategory,1
A542,A54.2,Gonococcal pelviperitonitis and other gonococcal genito-urinary infections,A54,subcategory,1
A544,A54.4,Gonococcal infection of musculoskeletal system,A54,subcategory,1
A548,A54.8,Other gonococcal infections,A54,subcategory,1
A549,A54.9,"Gonococcal infection, unspecified",A54,subcategory,1
A55,A55,Chlamydial lymphogranuloma (venereum),A50-A64,category,1
A56,A56,Other sexually transmitted chlamydial diseases,A50-A64,category,0
A560,A56.0,Chlamydial infection of lower genito-urinary tract,A56,subcategory,1
A561,A56.1,Chlamydial infection of pelviperitoneum and other genito-urinary organs,A56,subcategory,1
A562,A56.2,"Chlamydial infection of genito-urinary tract, unspecified",A56,subcategory,1
A568,A56.8,Sexually transmitted chlamydial infection of other sites,A56,subcategory,1
A58,A58,Granuloma inguinale,A50-A64,category,1
A59,A59,Trichomoniasis,A50-A64,category,1
A590,A59.0,Urogenital trichomoniasis,A59,subcategory,1
A599,A59.9,"Trichomoniasis, unspecified",A59,subcategory,1
A60,A60,Anogenital herpesviral [herpes simplex] infections,A50-A64,category,1
A600,A60.0,Herpesviral infection of genitalia and urogenital tract,A60,subcategory,1
A601,A60.1,Herpesviral infection of perianal skin and rectum,A60,subcategory,1
A609,A60.9,"Anogenital herpesviral infection, unspecified",A60,subcategory,1
A63,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",A50-A64,category,0
A630,A63.0,Anogenital (venereal) warts,A63,subcategory,1
A638,A63.8,Other specified predominantly sexually transmitted diseases,A63,subcategory,1
A64,A64,Unspecified sexually transmitted disease,A50-A64,category,1
A65,A65,Non-venereal syphilis,A65-A69,category,1
A66,A66,Yaws,A65-A69,category,1
A660,A66.0,Initial lesions of yaws,A66,subcategory,1
A661,A66.1,Multiple papillomata and wet crab yaws,A66,subcategory,1
A663,A66.3,Hyperkeratosis of yaws,A66,subcategory,1
A665,A66.5,Gangosa,A66,subcategory,1
A669,A66.9,"Yaws, unspecified",A66,subcategory,1
A67,A67,Pinta [carate],A65-A69,category,0
A671,A67.1,Intermediate lesions of pinta,A67,subcategory,1
A69,A69,Other spirochaetal infections,A65-A69,category,0
A691,A69.1,Other Vincent's infections,A69,subcategory,1
A692,A69.2,Lyme disease,A69,subcategory,1
A698,A69.8,Other specified spirochaetal infections,A69,subcategory,1
A699,A69.9,"Spirochaetal infection, unspecified",A69,subcategory,1
A70,A70,Chlamydia psittaci infection,A70-A74,category,1
A71,A71,Trachoma,A70-A74,category,1
A710,A71.0,Initial stage of trachoma,A71,subcategory,1
A711,A71.1,Active stage of trachoma,A71,subcategory,1
A719,A71.9,"Trachoma, unspecified",A71,subcategory,1
A74,A74,Other diseases caused by chlamydiae,A70-A74,category,1
A740,A74.0,Chlamydial conjunctivitis,A74,subcategory,1
A748,A74.8,Other chlamydial diseases,A74,subcategory,1
A749,A74.9,"Chlamydial infection, unspecified",A74,subcategory,1
A75,A75,Typhus fever,A75-A79,category,1
A759,A75.9,"Typhus fever, unspecified",A75,subcategory,1
A77,A77,Spotted fever [tick-borne rickettsioses],A75-A79,category,1
A771,A77.1,Spotted fever due to Rickettsia conorii,A77,subcategory,1
A779,A77.9,"Spotted fever, unspecified",A77,subcategory,1
A78,A78,Q fever,A75-A79,category,1
A80,A80,Acute poliomyelitis,A80-A89,category,1
A800,A80.0,"Acute paralytic poliomyelitis, vaccine-associated",A80,subcategory,1
A801,A80.1,"Acute paralytic poliomyelitis, wild virus, imported",A80,subcategory,1
A802,A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",A80,subcategory,1
A803,A80.3,"Acute paralytic poliomyelitis, other and unspecified",A80,subcategory,1
A809,A80.9,"Acute poliomyelitis, unspecified",A80,subcategory,1
A81,A81,Atypical virus infections of central nervous system,A80-A89,category,0
A810,A81.0,Creutzfeldt-Jakob disease,A81,subcategory,1
A812,A81.2,Progressive multifocal leukoencephalopathy,A81,subcategory,1
A819,A81.9,"Atypical virus infection of central nervous system, unspecified",A81,subcategory,1
A82,A82,Rabies,A80-A89,category,1
A829,A82.9,"Rabies, unspecified",A82,subcategory,1
A83,A83,Mosquito-borne viral encephalitis,A80-A89,category,0
A830,A83.0,Japanese encephalitis,A83,subcategory,1
A838,A83.8,Other mosquito-borne viral encephalitis,A83,subcategory,1
A839,A83.9,"Mosquito-borne viral encephalitis, unspecified",A83,subcategory,1
A85,A85,"Other viral encephalitis, not elsewhere classified",A80-A89,category,0
A850,A85.0,Enteroviral encephalitis,A85,subcategory,1
A858,A85.8,Other specified viral encephalitis,A85,subcategory,1
A86,A86,Unspecified viral encephalitis,A80-A89,category,1
A87,A87,Viral meningitis,A80-A89,category,1
A870,A87.0,Enteroviral meningitis,A87,subcategory,1
A872,A87.2,Lymphocytic choriomeningitis,A87,subcategory,1
A878,A87.8,Other viral meningitis,A87,subcategory,1
A879,A87.9,"Viral meningitis, unspecified",A87,subcategory,1
A88,A88,"Other viral infections of central nervous system, not elsewhere classified",A80-A89,category,0
A881,A88.1,Epidemic vertigo,A88,subcategory,1
A888,A88.8,Other specified viral infections of central nervous system,A88,subcategory,1
A89,A89,Unspecified viral infection of central nervous system,A80-A89,category,1
A90,A90,Dengue fever [classical dengue],A80-A89,category,1
A92,A92,Other mosquito-borne viral fevers,A92-A99,category,1
A921,A92.1,O'nyong-nyong fever,A92,subcategory,1
A928,A92.8,Other specified mosquito-borne viral fevers,A92,subcategory,1
A93,A93,"Other arthropod-borne viral fevers, not elsewhere classified",A92-A99,category,0
A932,A93.2,Colorado tick fever,A93,subcategory,1
A938,A93.8,Other specified arthropod-borne viral fevers,A93,subcategory,1
A94,A94,Unspecified arthropod-borne viral fever,A92-A99,category,1
A95,A95,Yellow fever,A92-A99,category,1
A950,A95.0,Sylvatic yellow fever,A95,subcategory,1
A959,A95.9,"Yellow fever, unspecified",A95,subcategory,1
A97,A97,Dengue,A92-A99,category,1
A971,A97.1,Dengue with warning signs,A97,subcategory,1
A979,A97.9,"Dengue,  unspecified",A97,subcategory,1
B00,B00,Herpesviral [herpes simplex] infections,B00-B09,category,1
B000,B00.0,Eczema herpeticum,B00,subcategory,1
B001,B00.1,Herpesviral vesicular dermatitis,B00,subcategory,1
B002,B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis,B00,subcategory,1
B003,B00.3,Herpesviral meningitis,B00,subcategory,1
B004,B00.4,Herpesviral encephalitis,B00,subcategory,1
B005,B00.5,Herpesviral ocular disease,B00,subcategory,1
B008,B00.8,Other forms of herpesviral infection,B00,subcategory,1
B009,B00.9,"Herpesviral infection, unspecified",B00,subcategory,1
B01,B01,Varicella [chickenpox],B00-B09,category,1
B010,B01.0,Varicella meningitis,B01,subcategory,1
B011,B01.1,Varicella encephalitis,B01,subcategory,1
B012,B01.2,Varicella pneumonia,B01,subcategory,1
B018,B01.8,Varicella with other complications,B01,subcategory,1
B019,B01.9,Varicella without complications,B01,subcategory,1
B02,B02,Zoster [herpes zoster],B00-B09,category,1
B020,B02.0,Zoster encephalitis,B02,subcategory,1
B021,B02.1,Zoster meningitis,B02,subcategory,1
B022,B02.2,Zoster with other nervous system involvement,B02,subcategory,1
B023,B02.3,Zoster ocular disease,B02,subcategory,1
B027,B02.7,Disseminated zoster,B02,subcategory,1
B028,B02.8,Zoster with other complications,B02,subcategory,1
B029,B02.9,Zoster without complication,B02,subcategory,1
B05,B05,Measles,B00-B09,category,1
B053,B05.3,Measles complicated by otitis media,B05,subcategory,1
B059,B05.9,Measles without complication,B05,subcategory,1
B06,B06,Rubella [German measles],B00-B09,category,1
B069,B06.9,Rubella without complication,B06,subcategory,1
B07,B07,Viral warts,B00-B09,category,1
B08,B08,"Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified",B00-B09,category,1
B080,B08.0,Other orthopoxvirus infections,B08,subcategory,1
B081,B08.1,Molluscum contagiosum,B08,subcategory,1
B082,B08.2,Exanthema subitum [sixth disease],B08,subcategory,1
B083,B08.3,Erythema infectiosum [fifth disease],B08,subcategory,1
B084,B08.4,Enteroviral vesicular stomatitis with exanthem,B08,subcategory,1
B085,B08.5,Enteroviral vesicular pharyngitis,B08,subcategory,1
B088,B08.8,Other specified viral infections characterised by skin and mucous membrane lesions,B08,subcategory,1
B09,B09,Unspecified viral infection characterised by skin and mucous membrane lesions,B00-B09,category,1
B15,B15,Acute hepatitis A,B15-B19,category,0
B150,B15.0,Hepatitis A with hepatic coma,B15,subcategory,1
B159,B15.9,Hepatitis A without hepatic coma,B15,subcategory,1
B16,B16,Acute hepatitis B,B15-B19,category,1
B161,B16.1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,B16,subcategory,1
B169,B16.9,Acute hepatitis B without delta-agent and without hepatic coma,B16,subcategory,1
B17,B17,Other acute viral hepatitis,B15-B19,category,1
B171,B17.1,Acute hepatitis C,B17,subcategory,1
B172,B17.2,Acute hepatitis E,B17,subcategory,1
B178,B17.8,Other specified acute viral hepatitis,B17,subcategory,1
B179,B17.9,"Acute viral hepatitis, unspecified",B17,subcategory,1
B18,B18,Chronic viral hepatitis,B15-B19,category,0
B180,B18.0,Chronic viral hepatitis B with delta-agent,B18,subcategory,1
B181,B18.1,Chronic viral hepatitis B without delta-agent,B18,subcategory,1
B182,B18.2,Chronic viral hepatitis C,B18,subcategory,1
B188,B18.8,Other chronic viral hepatitis,B18,subcategory,1
B189,B18.9,"Chronic viral hepatitis, unspecified",B18,subcategory,1
B19,B19,Unspecified viral hepatitis,B15-B19,category,1
B199,B19.9,Unspecified viral hepatitis without coma,B19,subcategory,1
B20,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,B20-B24,category,0
B201,B20.1,HIV disease resulting in other bacterial infections,B20,subcategory,1
B202,B20.2,HIV disease resulting in cytomegaloviral disease,B20,subcategory,1
B203,B20.3,HIV disease resulting in other viral infections,B20,subcategory,1
B204,B20.4,HIV disease resulting in candidiasis,B20,subcategory,1
B206,B20.6,HIV disease resulting in Pneumocystis carinii pneumonia,B20,subcategory,1
B207,B20.7,HIV disease resulting in multiple infections,B20,subcategory,1
B208,B20.8,HIV disease resulting in other infectious and parasitic diseases,B20,subcategory,1
B21,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,B20-B24,category,0
B210,B21.0,HIV disease resulting in Kaposi's sarcoma,B21,subcategory,1
B212,B21.2,HIV disease resulting in other types of non-Hodgkin's lymphoma,B21,subcategory,1
B213,B21.3,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",B21,subcategory,1
B23,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,B20-B24,category,0
B230,B23.0,Acute HIV infection syndrome,B23,subcategory,1
B232,B23.2,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",B23,subcategory,1
B238,B23.8,HIV disease resulting in other specified conditions,B23,subcategory,1
B24,B24,Unspecified human immunodeficiency virus [HIV] disease,B20-B24,category,1
B25,B25,Cytomegaloviral disease,B25-B34,category,1
B250,B25.0,Cytomegaloviral pneumonitis,B25,subcategory,1
B251,B25.1,Cytomegaloviral hepatitis,B25,subcategory,1
B258,B25.8,Other cytomegaloviral diseases,B25,subcategory,1
B259,B25.9,"Cytomegaloviral disease, unspecified",B25,subcategory,1
B26,B26,Mumps,B25-B34,category,1
B260,B26.0,Mumps orchitis,B26,subcategory,1
B261,B26.1,Mumps meningitis,B26,subcategory,1
B262,B26.2,Mumps encephalitis,B26,subcategory,1
B269,B26.9,Mumps without complication,B26,subcategory,1
B27,B27,Infectious mononucleosis,B25-B34,category,1
B270,B27.0,Gammaherpesviral mononucleosis,B27,subcategory,1
B271,B27.1,Cytomegaloviral mononucleosis,B27,subcategory,1
B278,B27.8,Other infectious mononucleosis,B27,subcategory,1
B279,B27.9,"Infectious mononucleosis, unspecified",B27,subcategory,1
B30,B30,Viral conjunctivitis,B25-B34,category,1
B300,B30.0,Keratoconjunctivitis due to adenovirus,B30,subcategory,1
B301,B30.1,Conjunctivitis due to adenovirus,B30,subcategory,1
B303,B30.3,Acute epidemic haemorrhagic conjunctivitis (enteroviral),B30,subcategory,1
B308,B30.8,Other viral conjunctivitis,B30,subcategory,1
B309,B30.9,"Viral conjunctivitis, unspecified",B30,subcategory,1
B33,B33,"Other viral diseases, not elsewhere classified",B25-B34,category,0
B330,B33.0,Epidemic myalgia,B33,subcategory,1
B332,B33.2,Viral carditis,B33,subcategory,1
B333,B33.3,"Retrovirus infections, not elsewhere classified",B33,subcategory,1
B338,B33.8,Other specified viral diseases,B33,subcategory,1
B34,B34,Viral infection of unspecified site,B25-B34,category,1
B340,B34.0,"Adenovirus infection, unspecified",B34,subcategory,1
B341,B34.1,"Enterovirus infection, unspecified",B34,subcategory,1
B342,B34.2,"Coronavirus infection, unspecified",B34,subcategory,1
B343,B34.3,"Parvovirus infection, unspecified",B34,subcategory,1
B344,B34.4,"Papovirus infection, unspecified",B34,subcategory,1
B348,B34.8,Other viral infections of unspecified site,B34,subcategory,1
B349,B34.9,"Viral infection, unspecified",B34,subcategory,1
B35,B35,Dermatophytosis,B35-B49,category,1
B350,B35.0,Tinea barbae and tinea capitis,B35,subcategory,1
B351,B35.1,Tinea unguium,B35,subcategory,1
B352,B35.2,Tinea manuum,B35,subcategory,1
B353,B35.3,Tinea pedis,B35,subcategory,1
B354,B35.4,Tinea corporis,B35,subcategory,1
B356,B35.6,Tinea cruris,B35,subcategory,1
B358,B35.8,Other dermatophytoses,B35,subcategory,1
B359,B35.9,"Dermatophytosis, unspecified",B35,subcategory,1
B36,B36,Other superficial mycoses,B35-B49,category,1
B360,B36.0,Pityriasis versicolor,B36,subcategory,1
B368,B36.8,Other specified superficial mycoses,B36,subcategory,1
B369,B36.9,"Superficial mycosis, unspecified",B36,subcategory,1
B37,B37,Candidiasis,B35-B49,category,1
B370,B37.0,Candidal stomatitis,B37,subcategory,1
B371,B37.1,Pulmonary candidiasis,B37,subcategory,1
